SiteName,MonitorDate,Concentration,ItemUnit
三義,20200331,13,μgm3
竹東,20200331,10,μgm3
陽明,20200331,7,μgm3
苗栗,20200331,10,μgm3
美濃,20200331,15,μgm3
屏東,20200331,16,μgm3
士林,20200331,7,μgm3
嘉義,20200331,24,μgm3
萬華,20200331,8,μgm3
恆春,20200331,8,μgm3
斗六,20200331,28,μgm3
新營,20200331,20,μgm3
金門,20200331,21,μgm3
平鎮,20200331,11,μgm3
彰化,20200331,16,μgm3
馬公,20200331,7,μgm3
新竹,20200331,9,μgm3
汐止,20200331,7,μgm3
豐原,20200331,17,μgm3
南投,20200331,28,μgm3
宜蘭,20200331,5,μgm3
朴子,20200331,16,μgm3
馬祖,20200331,4,μgm3
板橋,20200331,9,μgm3
基隆,20200331,4,μgm3
忠明,20200331,16,μgm3
桃園,20200331,10,μgm3
臺南,20200331,17,μgm3
臺東,20200331,6,μgm3
前金,20200331,20,μgm3
花蓮,20200331,8,μgm3
基隆,20200328,5,μgm3
花蓮,20200328,6,μgm3
士林,20200328,4,μgm3
陽明,20200328,-2,μgm3
竹東,20200328,5,μgm3
新營,20200328,13,μgm3
桃園,20200328,5,μgm3
三義,20200328,5,μgm3
朴子,20200328,13,μgm3
臺東,20200328,5,μgm3
新竹,20200328,6,μgm3
美濃,20200328,10,μgm3
前金,20200328,14,μgm3
南投,20200328,8,μgm3
臺南,20200328,11,μgm3
萬華,20200328,5,μgm3
平鎮,20200328,5,μgm3
恆春,20200328,10,μgm3
屏東,20200328,12,μgm3
苗栗,20200328,7,μgm3
忠明,20200328,7,μgm3
嘉義,20200328,10,μgm3
金門,20200328,9,μgm3
汐止,20200328,4,μgm3
豐原,20200328,7,μgm3
馬祖,20200328,5,μgm3
馬公,20200328,8,μgm3
彰化,20200328,8,μgm3
板橋,20200328,5,μgm3
宜蘭,20200325,11,μgm3
士林,20200325,22,μgm3
平鎮,20200325,30,μgm3
嘉義,20200325,45,μgm3
朴子,20200325,35,μgm3
桃園,20200325,31,μgm3
新營,20200325,42,μgm3
馬公,20200325,16,μgm3
基隆,20200325,14,μgm3
馬祖,20200325,20,μgm3
竹東,20200325,26,μgm3
三義,20200325,27,μgm3
臺南,20200325,36,μgm3
斗六,20200325,50,μgm3
陽明,20200325,9,μgm3
南投,20200325,36,μgm3
花蓮,20200325,11,μgm3
板橋,20200325,25,μgm3
金門,20200325,23,μgm3
苗栗,20200325,30,μgm3
美濃,20200325,28,μgm3
彰化,20200325,37,μgm3
豐原,20200325,37,μgm3
臺東,20200325,10,μgm3
前金,20200325,32,μgm3
新竹,20200325,28,μgm3
屏東,20200325,29,μgm3
萬華,20200325,26,μgm3
汐止,20200325,19,μgm3
忠明,20200325,35,μgm3
恆春,20200325,9,μgm3
豐原,20200322,30,μgm3
斗六,20200322,29,μgm3
萬華,20200322,25,μgm3
陽明,20200322,20,μgm3
新竹,20200322,22,μgm3
馬祖,20200322,40,μgm3
基隆,20200322,22,μgm3
汐止,20200322,23,μgm3
竹東,20200322,24,μgm3
新營,20200322,24,μgm3
苗栗,20200322,24,μgm3
彰化,20200322,30,μgm3
恆春,20200322,13,μgm3
朴子,20200322,21,μgm3
忠明,20200322,28,μgm3
屏東,20200322,28,μgm3
平鎮,20200322,22,μgm3
馬公,20200322,16,μgm3
前金,20200322,24,μgm3
嘉義,20200322,24,μgm3
板橋,20200322,25,μgm3
臺東,20200322,13,μgm3
宜蘭,20200322,19,μgm3
金門,20200322,40,μgm3
美濃,20200322,24,μgm3
士林,20200322,22,μgm3
臺南,20200322,21,μgm3
桃園,20200322,23,μgm3
花蓮,20200322,14,μgm3
南投,20200322,30,μgm3
基隆,20200319,31,μgm3
恆春,20200319,15,μgm3
馬祖,20200319,48,μgm3
士林,20200319,35,μgm3
豐原,20200319,37,μgm3
花蓮,20200319,15,μgm3
三義,20200319,35,μgm3
彰化,20200319,47,μgm3
陽明,20200319,14,μgm3
平鎮,20200319,40,μgm3
嘉義,20200319,36,μgm3
宜蘭,20200319,20,μgm3
忠明,20200319,43,μgm3
板橋,20200319,37,μgm3
汐止,20200319,35,μgm3
新竹,20200319,38,μgm3
馬公,20200319,17,μgm3
桃園,20200319,43,μgm3
南投,20200319,42,μgm3
金門,20200319,106,μgm3
斗六,20200319,44,μgm3
萬華,20200319,35,μgm3
新營,20200319,41,μgm3
竹東,20200319,33,μgm3
苗栗,20200319,41,μgm3
朴子,20200319,47,μgm3
屏東,20200319,28,μgm3
前金,20200319,29,μgm3
臺東,20200319,15,μgm3
美濃,20200319,23,μgm3
臺南,20200319,32,μgm3
桃園,20200316,15,μgm3
花蓮,20200316,15,μgm3
板橋,20200316,16,μgm3
金門,20200316,21,μgm3
斗六,20200316,27,μgm3
竹東,20200316,17,μgm3
苗栗,20200316,19,μgm3
美濃,20200316,18,μgm3
臺南,20200316,20,μgm3
三義,20200316,24,μgm3
士林,20200316,15,μgm3
彰化,20200316,26,μgm3
豐原,20200316,27,μgm3
馬祖,20200316,25,μgm3
基隆,20200316,15,μgm3
臺東,20200316,15,μgm3
前金,20200316,20,μgm3
朴子,20200316,26,μgm3
萬華,20200316,15,μgm3
屏東,20200316,21,μgm3
新營,20200316,22,μgm3
馬公,20200316,14,μgm3
