日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/07/16,"4,332,634","107,105,629",24.50,24.85,24.50,24.80,+0.30,"2,054"
107/07/17,"8,534,228","213,585,850",24.90,25.20,24.80,25.15,+0.35,"3,301"
107/07/18,"5,406,905","135,873,675",25.25,25.30,25.00,25.10,-0.05,"2,299"
107/07/19,"4,452,653","111,841,425",25.20,25.25,25.05,25.05,-0.05,"1,535"
107/07/20,"4,814,594","120,738,066",25.00,25.15,25.00,25.15,+0.10,"1,615"
107/07/23,"3,521,413","88,346,175",25.10,25.20,25.05,25.10,-0.05,"1,132"
107/07/24,"2,660,555","66,697,594",25.10,25.10,25.00,25.10, 0.00,842
107/07/25,"3,591,988","89,876,090",25.05,25.05,25.00,25.05,-0.05,"1,333"
107/07/26,"3,120,768","78,052,400",25.05,25.05,24.95,25.00,-0.05,934
107/07/27,"3,300,008","82,552,950",25.00,25.05,25.00,25.00, 0.00,"1,156"
107/07/30,"7,591,028","190,268,086",25.00,25.10,25.00,25.10,+0.10,"1,755"
107/07/31,"7,560,556","186,464,209",24.40,24.85,24.40,24.85,X0.00,"2,097"
