年度,機構名稱,訓練地址,班級名稱,訓練職類大類,開訓日期,結訓日期,受訓資格,訓練時數,就業率
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,節能規劃師,工業類,2013/3/7,2013/8/15,專科(含)以上,900,91.67%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,室內設計實務(設計組),商業類,2013/7/11,2013/12/18,專科(含)以上,900,91.67%
2013,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,舒壓實務班,醫事護理及家事類,2013/7/5,2013/9/18,國中(含)以上,440,91.67%
2013,行政院勞工委員會職業訓練局青年職業訓練中心,桃園市楊梅區幼獅路二段三號,網路工程師,工業類,2013/1/9,2013/6/28,專科(含)以上,900,91.67%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,創意商品網路行銷,工業類,2013/9/11,2014/2/27,高中/職(含)以上,920,91.67%
2013,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,冷凍空調,工業類,2013/7/17,2013/12/27,高中/職(含)以上,930,91.67%
2014,勞動力發展署北基宜花金馬分署,新北市泰山區致遠新村55之1號,模具設計與製造(泰山),工業類,2014/3/10,2014/9/3,高中/職(含)以上,1000,91.67%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號(桃竹苗分署),IC半導體AutoCAD製圖工程師(大專畢業青年專班),工業類,2014/7/23,2014/8/12,專科(含)以上,116,91.67%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號, IC封測Cadence APD製圖工程師(大專畢業青年專班),工業類,2014/8/26,2014/9/29,專科(含)以上,188,91.67%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,複合式餐飲實務班,商業類,2014/9/9,2014/11/25,不限,440,91.67%
2014,勞動力發展署桃竹苗分署,新竹市田美三街2號,工業工程與製造技術實務班,工業類,2014/10/24,2014/12/18,高中/職(含)以上,320,91.67%
2014,勞動力發展署桃竹苗分署,新竹市田美三街2號,國際貿易進出口管理實務,商業類,2014/5/5,2014/6/30,高中/職(含)以上,320,91.67%
2014,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,飯店管理實務,商業類,2014/2/13,2014/5/12,高中/職(含)以上,480,91.67%
2014,勞動力發展署雲嘉南分署,臺南市官田區官田工業區工業路40號,消防安全設備管理,工業類,2014/7/24,2014/12/26,高中/職(含)以上,888,91.67%
2015,勞動力發展署中彰投分署,臺中市西屯區工業區一路100號,電腦裝修B,工業類,2015/6/1,2015/8/20,高中/職(含)以上,460,91.67%
2015,勞動力發展署北基宜花金馬分署,花蓮縣花蓮市華西123號,銲接(花蓮),工業類,2015/2/12,2015/8/19,國中(含)以上,1000,91.67%
2015,勞動力發展署桃竹苗分署,桃園市楊梅區秀才路851號,門市儲備幹部(客製化訓用合一)專,商業類,2015/12/14,2016/1/26,高中/職(含)以上,240,91.67%
2015,勞動力發展署桃竹苗分署,桃園市桃園區東國街14號,生產管理實務（東門國小）,工業類,2015/3/16,2015/5/13,高中/職(含)以上,320,91.67%
2015,勞動力發展署桃竹苗分署,苗栗縣竹南鎮科北二路2號,輕食飲料微型創業專班(銅板國民美食組)(苗栗),醫事護理及家事類,2015/11/30,2015/12/31,國中(含)以上,192,91.67%
