"15歲以上人口數","總計","未婚","有偶","離婚","喪偶","男","未婚","有偶","離婚","喪偶","女","未婚","有偶","離婚","喪偶"
"105年/ 臺中市(99年改制前) / 90-94歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 95-99歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺中市(99年改制前) / 100歲以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 年齡別總計","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 15-19歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 20-24歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 25-29歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 30-34歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 35-39歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 40-44歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 45-49歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 50-54歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 55-59歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 60-64歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 65-69歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 70-74歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 75-79歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 80-84歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 85-89歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 90-94歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 95-99歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 臺南市(99年改制前) / 100歲以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 年齡別總計","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 15-19歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 20-24歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 25-29歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 30-34歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 35-39歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 40-44歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 45-49歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 50-54歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 55-59歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 60-64歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 65-69歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 70-74歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 75-79歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 80-84歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 85-89歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 90-94歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 95-99歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄市(99年改制前) / 100歲以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 年齡別總計","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 15-19歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 20-24歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 25-29歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 30-34歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 35-39歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 40-44歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 45-49歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 50-54歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 55-59歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 60-64歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 65-69歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 70-74歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 75-79歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 80-84歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 85-89歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 90-94歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 95-99歲","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 高雄縣 / 100歲以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"105年/ 宜蘭縣 / 年齡別總計","400,702","135,337","203,168","31,880","30,317","202,145","75,062","105,176","16,354","5,553","198,557","60,275","97,992","15,526","24,764"
"105年/ 宜蘭縣 / 15-19歲","28,715","28,579","122","14","-","14,982","14,952","30","-","-","13,733","13,627","92","14","-"
"105年/ 宜蘭縣 / 20-24歲","34,000","32,392","1,420","187","1","17,668","17,169","433","66","-","16,332","15,223","987","121","1"
"105年/ 宜蘭縣 / 25-29歲","32,364","25,948","5,745","661","10","17,079","14,478","2,349","252","-","15,285","11,470","3,396","409","10"
"105年/ 宜蘭縣 / 30-34歲","32,354","16,646","13,823","1,818","67","16,704","9,832","6,142","725","5","15,650","6,814","7,681","1,093","62"
"105年/ 宜蘭縣 / 35-39歲","34,806","11,320","19,762","3,550","174","17,617","6,817","9,135","1,634","31","17,189","4,503","10,627","1,916","143"
"105年/ 宜蘭縣 / 40-44歲","33,282","6,806","21,504","4,576","396","16,678","4,025","10,355","2,252","46","16,604","2,781","11,149","2,324","350"
"105年/ 宜蘭縣 / 45-49歲","35,633","4,771","24,848","5,264","750","18,318","2,766","12,659","2,773","120","17,315","2,005","12,189","2,491","630"
"105年/ 宜蘭縣 / 50-54歲","37,002","3,426","26,801","5,410","1,365","18,988","1,941","13,951","2,896","200","18,014","1,485","12,850","2,514","1,165"
"105年/ 宜蘭縣 / 55-59歲","34,738","2,235","25,844","4,498","2,161","17,522","1,276","13,563","2,368","315","17,216","959","12,281","2,130","1,846"
"105年/ 宜蘭縣 / 60-64歲","30,000","1,420","22,444","3,114","3,022","14,985","773","12,087","1,700","425","15,015","647","10,357","1,414","2,597"
"105年/ 宜蘭縣 / 65-69歲","20,476","748","14,880","1,468","3,380","10,046","366","8,324","863","493","10,430","382","6,556","605","2,887"
"105年/ 宜蘭縣 / 70-74歲","14,522","371","9,916","641","3,594","6,916","217","5,719","415","565","7,606","154","4,197","226","3,029"
"105年/ 宜蘭縣 / 75-79歲","14,697","288","8,840","376","5,193","6,753","179","5,358","240","976","7,944","109","3,482","136","4,217"
"105年/ 宜蘭縣 / 80-84歲","9,884","192","4,691","165","4,836","4,343","137","3,085","86","1,035","5,541","55","1,606","79","3,801"
