"離婚對數","離婚對數","粗離婚率"
"107年 3月/ 澎湖縣","29","0.28"
"107年 3月/ 基隆市","75","0.20"
"107年 3月/ 新竹市","104","0.24"
"107年 3月/ 嘉義市","71","0.26"
"107年 3月/ 金門縣","14","0.10"
"107年 3月/ 連江縣","3","0.23"
"107年 4月/ 區域別總計","4,268","0.18"
"107年 4月/ 新北市","788","0.20"
"107年 4月/ 臺北市","429","0.16"
"107年 4月/ 桃園市","475","0.22"
"107年 4月/ 臺中市","525","0.19"
"107年 4月/ 臺南市","322","0.17"
"107年 4月/ 高雄市","476","0.17"
"107年 4月/ 宜蘭縣","90","0.20"
"107年 4月/ 新竹縣","107","0.19"
"107年 4月/ 苗栗縣","104","0.19"
"107年 4月/ 彰化縣","195","0.15"
"107年 4月/ 南投縣","73","0.15"
"107年 4月/ 雲林縣","107","0.16"
"107年 4月/ 嘉義縣","71","0.14"
"107年 4月/ 屏東縣","150","0.18"
"107年 4月/ 臺東縣","55","0.25"
"107年 4月/ 花蓮縣","57","0.17"
"107年 4月/ 澎湖縣","18","0.17"
"107年 4月/ 基隆市","85","0.23"
"107年 4月/ 新竹市","75","0.17"
"107年 4月/ 嘉義市","46","0.17"
"107年 4月/ 金門縣","18","0.13"
"107年 4月/ 連江縣","2","0.15"
"107年 5月/ 區域別總計","5,203","0.22"
"107年 5月/ 新北市","933","0.23"
"107年 5月/ 臺北市","596","0.22"
"107年 5月/ 桃園市","550","0.25"
"107年 5月/ 臺中市","623","0.22"
"107年 5月/ 臺南市","364","0.19"
"107年 5月/ 高雄市","609","0.22"
"107年 5月/ 宜蘭縣","98","0.21"
"107年 5月/ 新竹縣","120","0.22"
"107年 5月/ 苗栗縣","120","0.22"
"107年 5月/ 彰化縣","203","0.16"
"107年 5月/ 南投縣","114","0.23"
"107年 5月/ 雲林縣","130","0.19"
"107年 5月/ 嘉義縣","121","0.24"
"107年 5月/ 屏東縣","162","0.20"
"107年 5月/ 臺東縣","68","0.31"
"107年 5月/ 花蓮縣","83","0.25"
"107年 5月/ 澎湖縣","26","0.25"
"107年 5月/ 基隆市","95","0.26"
"107年 5月/ 新竹市","101","0.23"
"107年 5月/ 嘉義市","65","0.24"
"107年 5月/ 金門縣","19","0.14"
"107年 5月/ 連江縣","3","0.23"

