"離婚人數","國籍別總計","外國籍","本國籍","大陸港澳"
"106年 3月/ 臺中市 / 女","557","28","472","57"
"106年 3月/ 臺南市 / 計","670","30","607","33"
"106年 3月/ 臺南市 / 男","335","2","331","2"
"106年 3月/ 臺南市 / 女","335","28","276","31"
"106年 3月/ 高雄市 / 計","1,334","64","1,185","85"
"106年 3月/ 高雄市 / 男","667","11","649","7"
"106年 3月/ 高雄市 / 女","667","53","536","78"
"106年 3月/ 宜蘭縣 / 計","194","6","171","17"
"106年 3月/ 宜蘭縣 / 男","97","1","95","1"
"106年 3月/ 宜蘭縣 / 女","97","5","76","16"
"106年 3月/ 新竹縣 / 計","238","13","216","9"
"106年 3月/ 新竹縣 / 男","119","-","119","-"
"106年 3月/ 新竹縣 / 女","119","13","97","9"
"106年 3月/ 苗栗縣 / 計","236","19","200","17"
"106年 3月/ 苗栗縣 / 男","118","1","117","-"
"106年 3月/ 苗栗縣 / 女","118","18","83","17"
"106年 3月/ 彰化縣 / 計","446","26","396","24"
"106年 3月/ 彰化縣 / 男","223","-","223","-"
"106年 3月/ 彰化縣 / 女","223","26","173","24"
"106年 3月/ 南投縣 / 計","202","14","179","9"
"106年 3月/ 南投縣 / 男","101","-","100","1"
"106年 3月/ 南投縣 / 女","101","14","79","8"
"106年 3月/ 雲林縣 / 計","296","19","260","17"
"106年 3月/ 雲林縣 / 男","148","2","146","-"
"106年 3月/ 雲林縣 / 女","148","17","114","17"
"106年 3月/ 嘉義縣 / 計","208","19","170","19"
"106年 3月/ 嘉義縣 / 男","104","-","104","-"
"106年 3月/ 嘉義縣 / 女","104","19","66","19"
"106年 3月/ 屏東縣 / 計","438","21","393","24"
"106年 3月/ 屏東縣 / 男","219","2","217","-"
"106年 3月/ 屏東縣 / 女","219","19","176","24"
"106年 3月/ 臺東縣 / 計","90","-","83","7"
"106年 3月/ 臺東縣 / 男","45","-","44","1"
"106年 3月/ 臺東縣 / 女","45","-","39","6"
"106年 3月/ 花蓮縣 / 計","150","7","137","6"
"106年 3月/ 花蓮縣 / 男","75","1","73","1"
"106年 3月/ 花蓮縣 / 女","75","6","64","5"
"106年 3月/ 澎湖縣 / 計","60","1","57","2"
"106年 3月/ 澎湖縣 / 男","30","-","30","-"
"106年 3月/ 澎湖縣 / 女","30","1","27","2"
"106年 3月/ 基隆市 / 計","188","9","170","9"
"106年 3月/ 基隆市 / 男","94","2","92","-"
"106年 3月/ 基隆市 / 女","94","7","78","9"
"106年 3月/ 新竹市 / 計","168","5","155","8"
"106年 3月/ 新竹市 / 男","84","-","83","1"
"106年 3月/ 新竹市 / 女","84","5","72","7"
"106年 3月/ 嘉義市 / 計","106","4","95","7"
"106年 3月/ 嘉義市 / 男","53","1","52","-"
"106年 3月/ 嘉義市 / 女","53","3","43","7"
"106年 3月/ 金門縣 / 計","46","3","36","7"
"106年 3月/ 金門縣 / 男","23","1","22","-"
"106年 3月/ 金門縣 / 女","23","2","14","7"
"106年 3月/ 連江縣 / 計","6","-","3","3"
"106年 3月/ 連江縣 / 男","3","-","2","1"
"106年 3月/ 連江縣 / 女","3","-","1","2"
"106年 4月/ 區域別總計 / 計","8,100","377","7,300","423"
"106年 4月/ 區域別總計 / 男","4,050","64","3,962","24"
"106年 4月/ 區域別總計 / 女","4,050","313","3,338","399"
"106年 4月/ 新北市 / 計","1,426","56","1,285","85"
"106年 4月/ 新北市 / 男","713","10","698","5"
"106年 4月/ 新北市 / 女","713","46","587","80"
"106年 4月/ 臺北市 / 計","786","25","709","52"
"106年 4月/ 臺北市 / 男","393","13","373","7"
"106年 4月/ 臺北市 / 女","393","12","336","45"
"106年 4月/ 桃園市 / 計","844","49","745","50"
"106年 4月/ 桃園市 / 男","422","3","416","3"
"106年 4月/ 桃園市 / 女","422","46","329","47"
"106年 4月/ 臺中市 / 計","954","37","874","43"
"106年 4月/ 臺中市 / 男","477","8","467","2"
"106年 4月/ 臺中市 / 女","477","29","407","41"
"106年 4月/ 臺南市 / 計","666","25","607","34"
"106年 4月/ 臺南市 / 男","333","5","327","1"
"106年 4月/ 臺南市 / 女","333","20","280","33"
"106年 4月/ 高雄市 / 計","938","48","839","51"
"106年 4月/ 高雄市 / 男","469","10","457","2"
"106年 4月/ 高雄市 / 女","469","38","382","49"
"106年 4月/ 宜蘭縣 / 計","162","10","148","4"
"106年 4月/ 宜蘭縣 / 男","81","1","80","-"
"106年 4月/ 宜蘭縣 / 女","81","9","68","4"
"106年 4月/ 新竹縣 / 計","198","12","176","10"
"106年 4月/ 新竹縣 / 男","99","2","97","-"
"106年 4月/ 新竹縣 / 女","99","10","79","10"
"106年 4月/ 苗栗縣 / 計","184","17","159","8"
"106年 4月/ 苗栗縣 / 男","92","2","90","-"
"106年 4月/ 苗栗縣 / 女","92","15","69","8"
"106年 4月/ 彰化縣 / 計","310","15","281","14"
"106年 4月/ 彰化縣 / 男","155","-","155","-"
"106年 4月/ 彰化縣 / 女","155","15","126","14"
"106年 4月/ 南投縣 / 計","204","9","187","8"
"106年 4月/ 南投縣 / 男","102","1","100","1"
"106年 4月/ 南投縣 / 女","102","8","87","7"
"106年 4月/ 雲林縣 / 計","210","10","189","11"
"106年 4月/ 雲林縣 / 男","105","1","104","-"
"106年 4月/ 雲林縣 / 女","105","9","85","11"
"106年 4月/ 嘉義縣 / 計","174","13","153","8"
"106年 4月/ 嘉義縣 / 男","87","1","85","1"
"106年 4月/ 嘉義縣 / 女","87","12","68","7"
"106年 4月/ 屏東縣 / 計","284","19","256","9"
"106年 4月/ 屏東縣 / 男","142","1","141","-"
"106年 4月/ 屏東縣 / 女","142","18","115","9"
"106年 4月/ 臺東縣 / 計","94","3","88","3"
"106年 4月/ 臺東縣 / 男","47","1","46","-"
"106年 4月/ 臺東縣 / 女","47","2","42","3"
"106年 4月/ 花蓮縣 / 計","154","8","139","7"
"106年 4月/ 花蓮縣 / 男","77","2","74","1"
"106年 4月/ 花蓮縣 / 女","77","6","65","6"
"106年 4月/ 澎湖縣 / 計","38","3","35","-"
"106年 4月/ 澎湖縣 / 男","19","-","19","-"
"106年 4月/ 澎湖縣 / 女","19","3","16","-"
"106年 4月/ 基隆市 / 計","170","7","154","9"
"106年 4月/ 基隆市 / 男","85","2","82","1"
"106年 4月/ 基隆市 / 女","85","5","72","8"
"106年 4月/ 新竹市 / 計","138","5","124","9"
"106年 4月/ 新竹市 / 男","69","1","68","-"
"106年 4月/ 新竹市 / 女","69","4","56","9"
"106年 4月/ 嘉義市 / 計","120","4","113","3"
"106年 4月/ 嘉義市 / 男","60","-","60","-"
"106年 4月/ 嘉義市 / 女","60","4","53","3"
"106年 4月/ 金門縣 / 計","44","2","37","5"
"106年 4月/ 金門縣 / 男","22","-","22","-"
"106年 4月/ 金門縣 / 女","22","2","15","5"
"106年 4月/ 連江縣 / 計","2","-","2","-"
"106年 4月/ 連江縣 / 男","1","-","1","-"
"106年 4月/ 連江縣 / 女","1","-","1","-"
"106年 5月/ 區域別總計 / 計","9,128","420","8,199","509"
"106年 5月/ 區域別總計 / 男","4,564","67","4,470","27"
"106年 5月/ 區域別總計 / 女","4,564","353","3,729","482"
"106年 5月/ 新北市 / 計","1,680","88","1,477","115"
"106年 5月/ 新北市 / 男","840","18","813","9"
"106年 5月/ 新北市 / 女","840","70","664","106"
"106年 5月/ 臺北市 / 計","850","25","779","46"
"106年 5月/ 臺北市 / 男","425","9","413","3"
"106年 5月/ 臺北市 / 女","425","16","366","43"
"106年 5月/ 桃園市 / 計","1,046","58","918","70"
"106年 5月/ 桃園市 / 男","523","7","514","2"
"106年 5月/ 桃園市 / 女","523","51","404","68"
"106年 5月/ 臺中市 / 計","1,026","35","952","39"
"106年 5月/ 臺中市 / 男","513","5","506","2"
"106年 5月/ 臺中市 / 女","513","30","446","37"
"106年 5月/ 臺南市 / 計","710","33","638","39"
"106年 5月/ 臺南市 / 男","355","5","347","3"
"106年 5月/ 臺南市 / 女","355","28","291","36"
"106年 5月/ 高雄市 / 計","1,056","40","964","52"
"106年 5月/ 高雄市 / 男","528","8","516","4"
"106年 5月/ 高雄市 / 女","528","32","448","48"
"106年 5月/ 宜蘭縣 / 計","178","5","167","6"
"106年 5月/ 宜蘭縣 / 男","89","2","87","-"
"106年 5月/ 宜蘭縣 / 女","89","3","80","6"
"106年 5月/ 新竹縣 / 計","214","13","187","14"
"106年 5月/ 新竹縣 / 男","107","1","106","-"
"106年 5月/ 新竹縣 / 女","107","12","81","14"
"106年 5月/ 苗栗縣 / 計","228","5","212","11"
"106年 5月/ 苗栗縣 / 男","114","-","113","1"
"106年 5月/ 苗栗縣 / 女","114","5","99","10"
"106年 5月/ 彰化縣 / 計","426","22","385","19"
"106年 5月/ 彰化縣 / 男","213","2","211","-"
"106年 5月/ 彰化縣 / 女","213","20","174","19"
"106年 5月/ 南投縣 / 計","178","10","159","9"
"106年 5月/ 南投縣 / 男","89","1","87","1"
"106年 5月/ 南投縣 / 女","89","9","72","8"
"106年 5月/ 雲林縣 / 計","232","20","191","21"
"106年 5月/ 雲林縣 / 男","116","1","115","-"
"106年 5月/ 雲林縣 / 女","116","19","76","21"
"106年 5月/ 嘉義縣 / 計","184","11","163","10"
"106年 5月/ 嘉義縣 / 男","92","-","92","-"
"106年 5月/ 嘉義縣 / 女","92","11","71","10"
"106年 5月/ 屏東縣 / 計","340","19","300","21"
"106年 5月/ 屏東縣 / 男","170","3","167","-"
"106年 5月/ 屏東縣 / 女","170","16","133","21"
"106年 5月/ 臺東縣 / 計","88","3","82","3"
"106年 5月/ 臺東縣 / 男","44","2","42","-"
"106年 5月/ 臺東縣 / 女","44","1","40","3"
"106年 5月/ 花蓮縣 / 計","146","6","138","2"
"106年 5月/ 花蓮縣 / 男","73","-","73","-"
"106年 5月/ 花蓮縣 / 女","73","6","65","2"
"106年 5月/ 澎湖縣 / 計","40","3","37","-"
"106年 5月/ 澎湖縣 / 男","20","-","20","-"
"106年 5月/ 澎湖縣 / 女","20","3","17","-"
"106年 5月/ 基隆市 / 計","194","11","171","12"
"106年 5月/ 基隆市 / 男","97","1","94","2"
"106年 5月/ 基隆市 / 女","97","10","77","10"
"106年 5月/ 新竹市 / 計","142","6","130","6"
"106年 5月/ 新竹市 / 男","71","1","70","-"
"106年 5月/ 新竹市 / 女","71","5","60","6"
"106年 5月/ 嘉義市 / 計","106","6","95","5"
"106年 5月/ 嘉義市 / 男","53","1","52","-"
"106年 5月/ 嘉義市 / 女","53","5","43","5"
"106年 5月/ 金門縣 / 計","52","1","46","5"
"106年 5月/ 金門縣 / 男","26","-","26","-"
"106年 5月/ 金門縣 / 女","26","1","20","5"
"106年 5月/ 連江縣 / 計","12","-","8","4"
"106年 5月/ 連江縣 / 男","6","-","6","-"
"106年 5月/ 連江縣 / 女","6","-","2","4"
"106年 6月/ 區域別總計 / 計","9,894","425","8,886","583"
"106年 6月/ 區域別總計 / 男","4,947","66","4,848","33"
"106年 6月/ 區域別總計 / 女","4,947","359","4,038","550"
"106年 6月/ 新北市 / 計","1,870","79","1,666","125"
"106年 6月/ 新北市 / 男","935","12","911","12"
"106年 6月/ 新北市 / 女","935","67","755","113"
"106年 6月/ 臺北市 / 計","1,032","43","922","67"
"106年 6月/ 臺北市 / 男","516","16","498","2"
"106年 6月/ 臺北市 / 女","516","27","424","65"
"106年 6月/ 桃園市 / 計","990","49","885","56"
"106年 6月/ 桃園市 / 男","495","13","480","2"
"106年 6月/ 桃園市 / 女","495","36","405","54"
"106年 6月/ 臺中市 / 計","1,134","37","1,036","61"
"106年 6月/ 臺中市 / 男","567","4","560","3"
"106年 6月/ 臺中市 / 女","567","33","476","58"
"106年 6月/ 臺南市 / 計","662","18","615","29"
"106年 6月/ 臺南市 / 男","331","3","324","4"
"106年 6月/ 臺南市 / 女","331","15","291","25"
"106年 6月/ 高雄市 / 計","1,216","51","1,095","70"
"106年 6月/ 高雄市 / 男","608","5","600","3"
"106年 6月/ 高雄市 / 女","608","46","495","67"
"106年 6月/ 宜蘭縣 / 計","230","15","201","14"
"106年 6月/ 宜蘭縣 / 男","115","2","112","1"
"106年 6月/ 宜蘭縣 / 女","115","13","89","13"
"106年 6月/ 新竹縣 / 計","232","10","211","11"
"106年 6月/ 新竹縣 / 男","116","-","114","2"
"106年 6月/ 新竹縣 / 女","116","10","97","9"
"106年 6月/ 苗栗縣 / 計","242","15","214","13"
"106年 6月/ 苗栗縣 / 男","121","-","121","-"
"106年 6月/ 苗栗縣 / 女","121","15","93","13"
"106年 6月/ 彰化縣 / 計","430","25","381","24"
"106年 6月/ 彰化縣 / 男","215","3","211","1"
"106年 6月/ 彰化縣 / 女","215","22","170","23"
"106年 6月/ 南投縣 / 計","204","18","173","13"
"106年 6月/ 南投縣 / 男","102","-","102","-"
"106年 6月/ 南投縣 / 女","102","18","71","13"
"106年 6月/ 雲林縣 / 計","266","15","233","18"
"106年 6月/ 雲林縣 / 男","133","2","131","-"
"106年 6月/ 雲林縣 / 女","133","13","102","18"
"106年 6月/ 嘉義縣 / 計","218","10","189","19"
"106年 6月/ 嘉義縣 / 男","109","2","107","-"
"106年 6月/ 嘉義縣 / 女","109","8","82","19"
"106年 6月/ 屏東縣 / 計","366","15","338","13"
"106年 6月/ 屏東縣 / 男","183","1","179","3"
"106年 6月/ 屏東縣 / 女","183","14","159","10"
"106年 6月/ 臺東縣 / 計","106","5","96","5"
"106年 6月/ 臺東縣 / 男","53","-","53","-"
"106年 6月/ 臺東縣 / 女","53","5","43","5"
"106年 6月/ 花蓮縣 / 計","146","8","127","11"
"106年 6月/ 花蓮縣 / 男","73","2","71","-"
"106年 6月/ 花蓮縣 / 女","73","6","56","11"
"106年 6月/ 澎湖縣 / 計","46","1","45","-"
"106年 6月/ 澎湖縣 / 男","23","-","23","-"
"106年 6月/ 澎湖縣 / 女","23","1","22","-"
"106年 6月/ 基隆市 / 計","178","4","159","15"
"106年 6月/ 基隆市 / 男","89","-","89","-"
"106年 6月/ 基隆市 / 女","89","4","70","15"
"106年 6月/ 新竹市 / 計","168","6","154","8"
"106年 6月/ 新竹市 / 男","84","-","84","-"
"106年 6月/ 新竹市 / 女","84","6","70","8"
"106年 6月/ 嘉義市 / 計","130","1","121","8"
"106年 6月/ 嘉義市 / 男","65","1","64","-"
"106年 6月/ 嘉義市 / 女","65","-","57","8"
"106年 6月/ 金門縣 / 計","26","-","23","3"
"106年 6月/ 金門縣 / 男","13","-","13","-"
"106年 6月/ 金門縣 / 女","13","-","10","3"
"106年 6月/ 連江縣 / 計","2","-","2","-"
"106年 6月/ 連江縣 / 男","1","-","1","-"
"106年 6月/ 連江縣 / 女","1","-","1","-"
"106年 7月/ 區域別總計 / 計","9,282","378","8,383","521"
"106年 7月/ 區域別總計 / 男","4,641","64","4,548","29"
"106年 7月/ 區域別總計 / 女","4,641","314","3,835","492"
"106年 7月/ 新北市 / 計","1,712","77","1,546","89"
"106年 7月/ 新北市 / 男","856","16","834","6"
"106年 7月/ 新北市 / 女","856","61","712","83"
"106年 7月/ 臺北市 / 計","924","35","834","55"
"106年 7月/ 臺北市 / 男","462","14","441","7"
"106年 7月/ 臺北市 / 女","462","21","393","48"
"106年 7月/ 桃園市 / 計","1,042","48","922","72"
"106年 7月/ 桃園市 / 男","521","5","509","7"
"106年 7月/ 桃園市 / 女","521","43","413","65"
